id,date,len,postags,decade_group,ndd,mdd,height,left_child_ratio,k_ary,num_leaves,n_num_crossing,degree_var,degree_mean,depth_var,depth_mean,topo_edit_distance
1800-59664,1809-01-19,11,2-0-0-1-0-3-1-0-2-0-0-0-0-0-0-1,1800,1.5364609561225604,1.8,4.0,0.9166666666666666,3,6,0.2222222222222222,1.49,0.9,0.64,1.6,4
1800-57658,1809-01-25,11,3-0-0-0-0-3-0-0-2-0-0-0-1-0-0-1,1800,1.02786250753126,1.6,5.0,0.6666666666666666,3,6,0.0,1.2900000000000003,0.9,1.61,2.3,6
1800-34112,1809-02-01,6,0-0-1-1-0-0-0-0-0-0-0-0-2-0-0-1,1800,1.1717035437571504,1.2,2.0,0.5,4,4,0.0,2.560000000000001,0.8,0.16000000000000006,0.8,2
1800-42575,1809-02-01,6,1-0-0-1-0-1-1-0-0-0-0-0-1-0-0-0,1800,0.3347153269713146,1.6,3.0,0.5,2,3,0.0,0.9600000000000002,0.8,0.56,1.2,2
1800-28069,1809-02-01,7,1-0-1-1-0-1-0-0-0-0-0-0-1-0-0-1,1800,1.1835618070658083,1.5,3.0,0.875,4,4,0.0,2.138888888888889,0.8333333333333334,0.3333333333333333,1.0,2
1800-38282,1809-02-01,7,1-0-0-1-0-1-0-0-1-0-0-0-1-0-0-1,1800,1.0397207708399179,1.5,3.0,0.8333333333333333,3,4,0.0,1.472222222222222,0.8333333333333334,0.47222222222222227,1.1666666666666667,2
1800-20880,1809-02-01,13,3-0-0-1-0-3-1-0-2-0-0-0-1-0-0-1,1800,1.1856236656577395,1.8333333333333333,5.0,0.7083333333333333,3,8,0.0,1.743055555555556,0.9166666666666666,1.7222222222222223,2.3333333333333335,6
1800-56948,1809-02-01,7,1-0-0-1-0-1-0-0-1-0-0-0-1-0-0-1,1800,1.3013448427221919,1.3333333333333333,3.0,0.8888888888888888,3,3,0.0,1.1388888888888888,0.8333333333333334,0.47222222222222227,1.1666666666666667,2
1800-49725,1809-02-01,6,1-0-0-1-0-1-1-0-0-0-0-0-1-0-0-0,1800,0.3347153269713146,1.6,3.0,0.5,2,3,0.0,0.9600000000000002,0.8,0.56,1.2,2
1800-26118,1809-02-01,6,0-0-1-1-0-0-0-0-0-0-0-0-2-0-0-1,1800,1.1613939001557827,1.4,2.0,0.75,4,4,0.0,2.560000000000001,0.8,0.16000000000000006,0.8,2
1800-34784,1809-02-01,6,1-0-0-1-0-1-0-0-0-0-0-0-1-0-0-1,1800,1.1717035437571504,1.2,3.0,0.8333333333333333,3,3,0.0,1.3600000000000005,0.8,0.4,1.0,2
1800-19384,1809-02-01,6,1-0-0-1-0-1-0-0-0-0-0-0-1-0-0-1,1800,1.1717035437571504,1.2,3.0,0.8333333333333333,3,3,0.0,1.3600000000000005,0.8,0.4,1.0,2
1800-20630,1809-02-01,11,2-0-0-1-0-3-0-0-2-0-0-0-1-0-0-1,1800,1.2913384980895757,2.3,4.0,0.7916666666666666,3,6,0.0,1.2900000000000003,0.9,0.8099999999999999,1.7,3
1800-54849,1809-02-03,11,2-0-1-1-0-2-0-0-2-0-0-0-1-0-0-1,1800,1.6080509489927377,1.9,4.0,0.8055555555555555,4,7,0.0,2.09,0.9,0.8399999999999999,1.6,4
1800-15691,1809-02-03,6,1-0-0-1-0-1-0-0-0-0-0-0-1-0-0-1,1800,1.1717035437571504,1.2,3.0,0.8333333333333333,3,3,0.0,1.3600000000000005,0.8,0.4,1.0,2
1800-23282,1809-02-07,6,1-0-0-1-0-1-1-0-0-0-0-0-1-0-0-0,1800,0.916290731874155,2.0,2.0,1.0,4,4,0.0,2.560000000000001,0.8,0.16000000000000006,0.8,2
1800-23767,1809-02-07,7,1-0-0-1-0-1-0-0-1-0-0-0-1-0-0-1,1800,1.2809338454620642,1.6666666666666667,3.0,1.0,3,3,0.0,1.1388888888888888,0.8333333333333334,0.47222222222222215,1.1666666666666667,2
